=== SHEET: 메뉴(IA)별 기능명세 ===
  0 | No:켑코이에스 전산시스템(PMS) 메뉴(IA)별 기능명세 | ID:                   | 1D:                | 2D:                     | 3D:                     | 4D:                     | URL:
  1 | No:* 메뉴 단위 띄어쓰기는 국문 맞춤법 기준입니다. | ID:                   | 1D:                | 2D:                     | 3D:                     | 4D:                     | URL:
  2 | No:    | ID:                   | 1D:                | 2D:                     | 3D:                     | 4D:                     | URL:
  3 | No:    | ID:                   | 1D:                | 2D:                     | 3D:                     | 4D:                     | URL:
  4 | No:    | ID:                   | 1D:                | 2D:                     | 3D:                     | 4D:                     | URL:
  5 | No:    | ID:                   | 1D:                | 2D:                     | 3D:                     | 4D:                     | URL:
  6 | No:No  | ID:ID                 | 1D:1Depth          | 2D:2Depth               | 3D:3Depth               | 4D:4Depth               | URL:URL
  7 | No:1   | ID:PMS_MN_01          | 1D:LOG IN          | 2D:                     | 3D:                     | 4D:                     | URL:/main
  8 | No:1   | ID:PMS_MN_01          | 1D:DASHBOARD       | 2D:                     | 3D:                     | 4D:                     | URL:/main
  9 | No:2   | ID:PMS_BS_01          | 1D:사업 접수(business) | 2D:신규 프로젝트 등록(new)      | 3D:                     | 4D:                     | URL:/business/new
 10 | No:3   | ID:PMS_BS_02          | 1D:                | 2D:추진단계 프로젝트 현황(list)   | 3D:                     | 4D:                     | URL:/business/progresslist
 11 | No:4   | ID:PMS_PM_01          | 1D:프로젝트 관리(project) | 2D:프로젝트 현황(list)        | 3D:                     | 4D:                     | URL:/project/list
 12 | No:5   | ID:PMS_PM_02_01_01    | 1D:                | 2D:프로젝트 상세(details)     | 3D:HOME(home)           | 4D:                     | URL:/project/details/home
 13 | No:6   | ID:PMS_PM_02_02_01_01 | 1D:                | 2D:                     | 3D:추진(progress)         | 4D:기본 정보(summary)       | URL:/project/details/progress/summary
 14 | No:7   | ID:PMS_PM_02_02_01_02 | 1D:                | 2D:                     | 3D:                     | 4D:세부 정보(information)   | URL:/project/details/progress/information
 15 | No:8   | ID:PMS_PM_02_02_01_03 | 1D:                | 2D:                     | 3D:                     | 4D:협력업체 정보(Partner)     | URL:/project/details/progress/Partner
 16 | No:9   | ID:PMS_PM_02_02_01_04 | 1D:                | 2D:                     | 3D:                     | 4D:사업 심의(approval)      | URL:/project/details/progress/approval
 17 | No:10  | ID:PMS_PM_02_02_01_05 | 1D:                | 2D:                     | 3D:                     | 4D:사업 시행(execution)     | URL:/project/details/progress/execution
 18 | No:11  | ID:PMS_PM_02_03_01_01 | 1D:                | 2D:                     | 3D:계약(contract)         | 4D:계약 품의(request)       | URL:/project/datails/contract/request
 19 | No:12  | ID:PMS_PM_02_03_01_02 | 1D:                | 2D:                     | 3D:                     | 4D:계약 체결(finalization)  | URL:/project/datails/contract/finalization
 20 | No:13  | ID:PMS_PM_02_04       | 1D:                | 2D:                     | 3D:투자(investment)       | 4D:                     | URL:/project/datails/investment
 21 | No:14  | ID:PMS_PM_02_05       | 1D:                | 2D:                     | 3D:상환(repayment)        | 4D:                     | URL:/project/datails/repayment
 22 | No:15  | ID:PMS_PM_02_06_01    | 1D:                | 2D:                     | 3D:발주(order)            | 4D:목록(list)             | URL:/project/list/datails/order/list
 23 | No:16  | ID:PMS_PM_02_06_02    | 1D:                | 2D:                     | 3D:                     | 4D:신규 등록(new)           | URL:/project/list/datails/order/new
 24 | No:17  | ID:PMS_CI_01_01       | 1D:계약 관리(contract) | 2D:수주 계약(sales)         | 3D:계약 목록(list)          | 4D:                     | URL:/contact/sales/list
 25 | No:18  | ID:PMS_CI_02_01       | 1D:                | 2D:발주 계약(purchase)      | 3D:계약 목록(list)          | 4D:                     | URL:/contact/purchase/list
 26 | No:19  | ID:PMS_CI_02_02       | 1D:                | 2D:                     | 3D:계약 상세(view)          | 4D:                     | URL:/contact/purchase/view
 27 | No:20  | ID:PMS_CI_02_03       | 1D:                | 2D:                     | 3D:계약 수정(edit)          | 4D:                     | URL:/contact/purchase/edit
 28 | No:21  | ID:PMS_CI_02_04       | 1D:                | 2D:                     | 3D:신규 발주(new)           | 4D:                     | URL:/contact/purchase/new
 29 | No:22  | ID:PMS_BM_01          | 1D:자금 관리(finanace) | 2D:상환현황(repayment)      | 3D:                     | 4D:                     | URL:/finance/repayment/list
