=== SHEET: 메뉴구조도 및 기능명세서 ===
  0 | 1D:전자 입찰시스템(SRM) 메뉴구조도 및 기능명세서 | 2D:                          | 3D:                          | 4D:                     | Roles:,,,
  1 | 1D:1Depth                    | 2D:2Depth                    | 3D:3Depth                    | 4D:4Depth               | Roles:C:협력업체,O:사업담당자,M:계약담당자,S:관리자
  2 | 1D:로그인                       | 2D:                          | 3D:                          | 4D:                     | Roles:C:○,O:○,M:○,S:○
  3 | 1D:① 협력업체 전용 창구(로그인 전)       | 2D:협력업체 신청                   | 3D:Step#1 약관 및 개인정보 수집 동의    | 4D:                     | Roles:C:○,,,
  4 | 1D:                          | 2D:                          | 3D:Step#2 기본 정보 입력           | 4D:                     | Roles:C:○,,,
  5 | 1D:                          | 2D:                          | 3D:Step#3 담당자 정보 입력          | 4D:                     | Roles:C:○,,,
  6 | 1D:                          | 2D:                          | 3D:Step#4 신청 정보 확인 및 제출      | 4D:                     | Roles:C:○,,,
  7 | 1D:                          | 2D:                          | 3D:Step#5 협력업체 신청 완료         | 4D:                     | Roles:C:○,,,
  8 | 1D:                          | 2D:아이디 찾기                    | 3D:                          | 4D:                     | Roles:C:○,,,
  9 | 1D:                          | 2D:비밀번호 찾기                   | 3D:                          | 4D:                     | Roles:C:○,,,
 10 | 1D:                          | 2D:입찰공고                      | 3D:                          | 4D:                     | Roles:C:○,,,
 11 | 1D:                          | 2D:협력업체 이용 매뉴얼               | 3D:                          | 4D:                     | Roles:C:○,,,
 12 | 1D:② 협력업체 전용 창구(로그인 후)       | 2D:대시보드                      | 3D:                          | 4D:                     | Roles:C:○,,,
 13 | 1D:                          | 2D:공지사항                      | 3D:                          | 4D:                     | Roles:C:○,,,
 14 | 1D:                          | 2D:질문과 답변                    | 3D:                          | 4D:                     | Roles:C:○,,,
 15 | 1D:                          | 2D:양식 등 자료실                  | 3D:                          | 4D:                     | Roles:C:○,,,
 16 | 1D:                          | 2D:사전 견적 관리                  | 3D:                          | 4D:                     | Roles:C:○,,,
 17 | 1D:                          | 2D:수의계약 요청 현황                | 3D:검색/조회                     | 4D:                     | Roles:C:○,,,
 18 | 1D:                          | 2D:                          | 3D:공고 정보                     | 4D:                     | Roles:C:○,,,
 19 | 1D:                          | 2D:                          | 3D:견적 제출 현황                  | 4D:                     | Roles:C:○,,,
 20 | 1D:                          | 2D:입찰공고 현황                   | 3D:검색/조회                     | 4D:                     | Roles:C:○,,,
 21 | 1D:                          | 2D:                          | 3D:입찰공고 정보                   | 4D:                     | Roles:C:○,,,
 22 | 1D:                          | 2D:입찰 참여 현황                  | 3D:검색/조회                     | 4D:                     | Roles:C:○,,,
 23 | 1D:                          | 2D:                          | 3D:입찰공고 정보                   | 4D:                     | Roles:C:○,,,
 24 | 1D:                          | 2D:                          | 3D:입찰 서류 제출                  | 4D:                     | Roles:C:○,,,
 25 | 1D:                          | 2D:                          | 3D:가격 투찰                     | 4D:                     | Roles:C:○,,,
 26 | 1D:                          | 2D:                          | 3D:입찰 결과                     | 4D:                     | Roles:C:○,,,
 27 | 1D:                          | 2D:                          | 3D:수의시담                      | 4D:                     | Roles:C:○,,,
 28 | 1D:                          | 2D:계약관리                      | 3D:검색/조회                     | 4D:                     | Roles:C:○,,,
 29 | 1D:                          | 2D:                          | 3D:계약 정보                     | 4D:                     | Roles:C:○,,,
 30 | 1D:                          | 2D:                          | 3D:계약 관련 서류                  | 4D:                     | Roles:C:○,,,
 31 | 1D:                          | 2D:협력업체 정보 관리                | 3D:협력업체 정보 확인                | 4D:                     | Roles:C:○,,,
 32 | 1D:                          | 2D:                          | 3D:기본 정보 수정 요청               | 4D:                     | Roles:C:○,,,
 33 | 1D:                          | 2D:                          | 3D:담당자 정보 추가/수정              | 4D:                     | Roles:C:○,,,
 34 | 1D:                          | 2D:                          | 3D:비밀번호 변경                   | 4D:                     | Roles:C:○,,,
 35 | 1D:③ 대시보드                    | 2D:대시보드                      | 3D:                          | 4D:                     | Roles:,O:○,M:○,S:○
 36 | 1D:                          | 2D:공지사항                      | 3D:                          | 4D:                     | Roles:,O:○,M:○,S:○
 37 | 1D:                          | 2D:양식 등 자료실                  | 3D:                          | 4D:                     | Roles:,O:○,M:○,S:○
 38 | 1D:④ 사전 견적 관리                | 2D:사전 견적 요청                  | 3D:                          | 4D:                     | Roles:,O:○,,S:○
 39 | 1D:                          | 2D:사전 견적 요청 현황               | 3D:검색/조회                     | 4D:                     | Roles:,O:○,,S:○
 40 | 1D:                          | 2D:                          | 3D:견적 요청 내역                  | 4D:                     | Roles:,O:○,,S:○
 41 | 1D:                          | 2D:                          | 3D:견적 제출 현황                  | 4D:                     | Roles:,O:○,,S:○
 42 | 1D:⑤ 발주계약 요청                 | 2D:발주계약 요청                   | 3D:                          | 4D:                     | Roles:,O:○,,S:○
 43 | 1D:                          | 2D:발주계약 요청현황                 | 3D:                          | 4D:                     | Roles:,O:○,,S:○
 44 | 1D:⑥ 발주계획                    | 2D:발주계약 요청 접수                | 3D:                          | 4D:                     | Roles:,,M:○,S:○
 45 | 1D:                          | 2D:발주계획 등록                   | 3D:                          | 4D:                     | Roles:,,M:○,S:○
 46 | 1D:⑦-1 수의계약 관리               | 2D:수의계약 계획 현황                | 3D:                          | 4D:                     | Roles:,,M:○,S:○
 47 | 1D:                          | 2D:수의계약 현황                   | 3D:검색/조회                     | 4D:                     | Roles:,,M:○,S:○
 48 | 1D:                          | 2D:                          | 3D:발주계획 정보                   | 4D:                     | Roles:,,M:○,S:○
 49 | 1D:                          | 2D:                          | 3D:수의계약 계획 정보                | 4D:                     | Roles:,,M:○,S:○
 50 | 1D:                          | 2D:                          | 3D:견적 요청 및 확인                | 4D:                     | Roles:,,M:○,S:○
 51 | 1D:                          | 2D:                          | 3D:계약 요청                     | 4D:                     | Roles:,,M:○,S:○
 52 | 1D:⑦-2 입찰관리                  | 2D:입찰계획 현황                   | 3D:                          | 4D:                     | Roles:,,M:○,S:○
 53 | 1D:                          | 2D:입찰공고 현황                   | 3D:검색/조회                     | 4D:                     | Roles:,,M:○,S:○
 54 | 1D:                          | 2D:                          | 3D:발주계획 정보                   | 4D:                     | Roles:,,M:○,S:○
 55 | 1D:                          | 2D:                          | 3D:입찰계획 정보                   | 4D:                     | Roles:,,M:○,S:○
 56 | 1D:                          | 2D:                          | 3D:입찰 참여현황                   | 4D:                     | Roles:,,M:○,S:○
 57 | 1D:                          | 2D:                          | 3D:심사/평가                     | 4D:                     | Roles:,,M:○,S:○
 58 | 1D:                          | 2D:                          | 3D:개찰                        | 4D:                     | Roles:,,M:○,S:○
 59 | 1D:                          | 2D:                          | 3D:낙찰(업체선정)                  | 4D:                     | Roles:,,M:○,S:○
 60 | 1D:                          | 2D:                          | 3D:수의시담                      | 4D:                     | Roles:,,M:○,S:○
 61 | 1D:                          | 2D:                          | 3D:계약 요청                     | 4D:                     | Roles:,,M:○,S:○
 62 | 1D:⑧ 계약관리                    | 2D:발주계약 현황                   | 3D:검색/조회                     | 4D:                     | Roles:,O:○,M:○,S:○
 63 | 1D:                          | 2D:                          | 3D:계약 정보                     | 4D:                     | Roles:,O:○,M:○,S:○
 64 | 1D:                          | 2D:                          | 3D:계약 관련 서류                  | 4D:                     | Roles:,O:○,M:○,S:○
